subwatershed,area,perimeter,watershed_length,drainage_density,shape_factor,ruggedness,population_density,housing_density
40400010303,106.1139801,54.56481512,22.37841134,0.526786225,4.719390353,0.045033944,790.5178931,58.34292515
40400010503,54.66291005,45.84382075,13.28299104,0.369231298,3.227743469,0.014097868,1543.642662,75.3527391
40500011001,89.51562589,74.91907532,13.57015005,0.45317126,2.057171253,0.024757246,205.6624172,3.49659623
40500011506,105.455935,79.94389332,14.95905694,0.440713601,2.121961031,0.02280852,271.1084967,5.993024481
41000050102,87.27794462,64.12769072,13.24182073,0.534693506,2.009050706,0.015190873,1102.512214,90.11440444
50800030102,84.66826925,61.0795612,29.99042265,0.779094781,10.62293417,0.055853782,115.486003,3.803077621
50800030303,73.56385591,46.20518398,14.54277079,0.945051843,2.874946937,0.057281107,291.6649724,8.020242995
50800030803,76.67844413,53.67764168,22.6272443,0.401561387,6.677133192,0.061660389,82.85248966,3.012580688
50902030505,60.63154922,51.33679991,25.8277384,0.555229698,11.00206212,0.031566371,240.6008124,3.381078046
50902030507,64.60855857,41.41960771,16.2245038,0.491844881,4.074298039,0.036504953,255.817501,8.853316227
50902031007,61.27563104,37.93346031,15.38170277,0.609642499,3.861188798,0.092303424,125.8738567,4.63479519
51201011004,88.48639571,77.79328184,12.30385586,0.557699731,1.710826482,0.074679203,590.271528,53.04770256
51201011404,41.8061957,31.83064412,10.84305652,0.474983088,2.812307425,0.023966758,81.63861703,3.157426735
51201011507,94.72251921,53.09864069,18.84598882,0.610711364,3.74959722,0.043002482,240.0590714,12.4679961
51201020103,55.24098269,39.38617384,9.939634155,0.814202445,1.78846071,0.021686986,232.5990483,6.951360771
51201020108,58.48723953,40.8009667,8.591842653,0.880488457,1.262151552,0.026248299,55.68736063,2.718541707
51201030105,90.73861275,57.01081666,14.25883175,0.562777164,2.24065893,0.028052917,150.6084299,2.953538652
51201030404,52.7329083,49.77065134,14.93924887,0.809646549,4.232293724,0.032742776,537.3305003,6.656185128
51201040101,54.35477428,45.81171606,13.20598979,0.464161656,3.208516063,0.021990763,367.1434619,6.181609701
51201040304,90.2550138,77.42264611,14.71527665,0.526083633,2.399194879,0.022582968,256.2295326,5.706054194
51201040506,57.30705241,41.02907267,13.74442962,0.603375956,3.296441497,0.025513911,203.1861614,3.472521996
51201040705,102.8306687,51.76281633,15.86328681,0.542100775,2.447167481,0.035615539,270.4251597,19.37165269
51201060205,53.34001633,53.37284542,17.7946044,0.509941493,5.936405116,0.018843465,592.7444754,13.49830858
51201060303,59.35549221,57.31909167,13.88554298,0.542773361,3.248365006,0.020650383,277.2953165,10.34445132
51201060509,73.69099098,73.49811016,22.40987462,0.466857666,6.814977978,0.02785164,211.1384281,7.151484775
