ws_id,ws_fraction,policy_total_building_coverage_avgw,policy_total_contents_coverage_avgw,policy_total_insurance_premium_avgw,claims_amt_paid_building_avgw,claims_amt_paid_contents_avgw,claims_total_building_insurance_coverage_avgw,claims_total_contents_insurance_coverage_avgw,policy_total_building_coverage_sum,policy_total_contents_coverage_sum,policy_total_insurance_premium_sum,claims_amt_paid_building_sum,claims_amt_paid_contents_sum,claims_total_building_insurance_coverage_sum,claims_total_contents_insurance_coverage_sum,NAME_cnty
040400010301,1.0,32595.651,12023.27715,90.73257763,3859.6723479999996,3408.8304340000004,10833.90325,3966.4351659999998,10103137.09,3401774.14,38731.36105,27705.85097,11680.711490000002,209713.5148,75916.37921,Porter
040400010302,1.0,63353.038960000005,20225.85022,295.2419994,2727.387945,1432.6080980000002,19288.57011,7046.352376000001,29042357.46,9263922.967,134627.50400000002,55899.748770000006,26370.32186,418423.61799999996,152420.9883,Porter
040400010303,1.0,64285.54901,20887.9182,261.3782459,5136.9406420000005,2791.843585,33104.27684,11347.64802,89981918.82,29235587.95,366912.0714,363403.5261,192794.2211,2386830.733,821161.2318,Porter
040400010402,1.0,36207.79282,11953.16152,117.6917041,1316.4307,197.1323865,31415.664989999997,11521.50558,18583628.56,5618886.091,69926.64484,22728.61216,1820.55761,309589.8981,95933.63672000001,Porter
040400010403,1.0,43685.48029,13911.06088,175.8665479,2603.56651,667.2615272,21409.68231,7214.766625,49520578.88,15917766.2,193924.5488,180402.271,70791.35925,1362478.2340000002,468753.3941,Porter
040400010501,1.0,28531.30807,5529.666270000001,151.0674996,1580.832299,415.70609460000003,19072.9731,6964.577802,193382667.0,35227786.4,1057614.626,206922.5885,46878.204000000005,2804894.398,952327.0089,Lake
040400010502,1.0,25492.57358,5610.16517,118.76072140000001,2429.452604,241.15752700000002,18771.94052,6124.956784,237184537.5,43103246.06,1290603.9,288860.0456,48124.3605,3560574.48,1156150.5,Lake
040400010503,1.0,29839.387889999998,5965.4806530000005,156.02388100000002,1373.499728,415.1925272,15823.065219999999,5462.290331,396421599.9,81881972.56,2043894.313,450556.0448,136324.4989,5217666.444,1792012.8269999998,Lake
040400010504,1.0,51898.92327,13759.87381,199.36601509999997,7672.638349,651.1882066000001,48346.67595,15851.70341,39146329.1,10314523.87,159141.6403,153104.9723,16731.435169999997,997396.5751,329210.9824,Lake
040400010505,1.0,41190.48928,7596.659512,225.6959308,1444.9480939999999,313.69146639999997,20339.43987,6661.378488,359472021.1,65695131.9,2020150.909,371713.0453,89759.01058999999,5096788.66,1670778.717,Lake
040400010506,1.0,34877.715769999995,13436.161580000002,109.10518909999999,1899.834936,757.2909549,14094.009380000001,5729.507827,17138172.51,6241421.866,62025.94492,46887.43342,19545.310869999998,345306.5817,138511.2295,Porter
040400010507,1.0,47862.04534,18998.288269999997,133.1326859,2730.313836,1003.538808,20818.39039,8565.674615,73656775.13,15811243.71,373554.5312,105805.5377,28698.85338,1201596.808,420641.0114,Lake
040400010508,1.0,36663.99939,13690.93538,140.35122859999998,2416.570731,1040.392972,18397.55293,7271.665693999999,107190360.8,32236567.16,700794.2685,255584.2863,131265.2791,1985819.749,733321.9232,Lake
040400010509,1.0,29554.10176,10480.49858,102.84522829999999,2383.2789190000003,1259.362784,15305.978309999999,5513.484393,46958144.0,15490454.87,207498.5188,181167.7259,99274.1143,1173439.628,414437.2473,Porter
040400010602,1.0,44513.945380000005,14179.70399,134.6524554,3224.184514,6.493766402,25790.55182,7289.2432340000005,17643888.33,5519650.1620000005,58933.0239,33831.272000000004,4869.23782,269113.5771,77746.13745,Porter
040500010801,1.0,38191.3099,5912.838872,169.9075782,272.409886,46.16162552,13342.45315,3694.51855,34371537.63,6449990.28,144708.2446,8278.514062999999,1137.704724,299039.6858,84216.35531,Steuben
040500010802,1.0,16114.470519999999,2592.2551489999996,96.19897582,448.96471579999996,90.56446705,9386.414508,2464.895682,27007136.58,4163095.788,166677.7028,8560.670613,1591.48128,199102.1642,53057.52921,Steuben
040500010803,1.0,35710.615260000006,6510.902518,151.5184352,267.43685550000004,52.46479001,15967.43667,4383.309102,23426619.95,4299184.275,98725.35923,3394.162833,665.9729786,202529.0971,55596.29482,Steuben
040500010804,1.0,12710.429059999999,1454.582893,90.1847807,311.968999,74.18676526,5371.437497999999,1355.64333,14501373.4,1744606.218,109626.1594,4347.121128,1033.752891,74848.10832999999,18890.16467,Steuben
040500011001,1.0,55680.80785,16393.30574,179.2999616,3.0889529039999997,0.592206543,179.5417962,49.29975643,9211474.575,2367862.877,32605.34464,599.3849934,103.96773929999999,30956.15399,8510.547949,Steuben
040500011002,1.0,26471.11578,7897.133537000001,94.62157387,208.0160055,9.95379446,1635.417503,478.87994630000003,6583361.547,1698558.419,28765.36273,3165.552233,151.85588159999998,24139.87001,7074.347841,Steuben
040500011003,1.0,45533.84165,11208.51733,259.3362496,2231.0684300000003,121.00776680000001,15787.909290000001,4629.239929,10055703.94,2416597.99,58086.35721,14455.759030000001,1071.69961,96080.87916,28068.376969999998,Steuben
040500011004,1.0,39323.04117,1759.3104079999998,377.39560339999997,7107.671126,1980.9509829999997,15256.999119999999,3902.086673,2879934.0539999995,141646.959,27391.7392,14426.531659999999,4001.1687979999997,31397.61037,8053.298906999999,Steuben
