subwatershed,area,perimeter,circulatory_ratio,relief,avg_slope,watershed_length,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,x_area,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population,population_density,avg_median_income,housing_density,population_change,dependent_population_pct,dist_to_stream_avg (m),dist_to_stream_stdev (m),lu_21_area,lu_22_area,lu_23_area,lu_24_area,lu_41_area,lu_82_area,avg_impervious_percent,orb100yr24ha_am,orb25yr24ha_am,orb2yr24ha_am,orb50yr24ha_am
51201111512,80.52982866,67.64560039,0.221150297,43.69165802,2.967684269,23.49415236,0.430996423,0.340346085,6.854294915,0.001859682,0.014870285,0,0,0,0,0.589329435,0,14,144.0308807,7.356993958,14733,182.9508425,49885,1.626726421,-469,35,1349.403948,647.9638448,4.238931288,0.912682516,0.24361373,0.04504104,9.138211489,61.59069561,0.952317119,6450.518066,5187.643066,2906.696533,5809.526855
50902030505,60.63154929,51.33679986,0.289101899,56.85281372,6.796816826,25.82773846,7.72364E-05,10771218.1,213435288.5,0.002201231,612374.0562,6.944761516,20,0,0,0.516888073,0,8,86.63363434,1.869142039,14588,4667552591,59858.66667,65271505.93,-214,41.3,814.8799236,665.5023723,2.674765313,0.362538946,0.02525658,0.005227685,23.1765794,25.93608294,0.421500117,5896.663086,4796.033691,2713.955078,5344.078613
51401041105,73.78471724,60.77674043,0.251016039,145.5370865,16.27393532,37.63032926,0.244235878,0.567715213,21.34475596,0.003867548,0.082623618,7.406778502,16,0,0,0.370531823,0,3,98.21154251,5.069303596,6855,103.3290927,42147.5,2.004780355,-98,44.65,999.345532,663.285685,3.189462416,0.637449648,0.063365114,0.0036,48.74401107,2.628815034,0.530343711,6929.650879,5476.104004,2963,6187.065918
51202020904,45.85393486,35.60469027,0.454539939,56.26487732,3.981746912,7.567379645,1.009712753,0.469629308,1.248861954,0.007435186,0.026423635,0,0,0,0,0.180042183,0,14,60.71433148,2.544482799,12477,272.1031475,62175.66667,2.006370888,264,41.16666667,1120.098886,737.049719,2.045807117,0.229159571,0.035461898,0.022884081,3.083626166,38.46992915,0.561438978,6709.532227,5336.838867,2937.080566,6008.177246
51402010908,123.7922709,68.73747674,0.329242752,56.52656682,5.281295776,13.45710151,0.073548958,50.43038038,235.373234,0.004200501,2.850656266,25.37046507,40,0,0,2.609732657,1,27,195.3760678,12.18793308,9659,12554.11735,59965,443.2088225,732,42.63333333,1358.227688,732.93079,4.971410159,0.879023338,0.182958499,0.012077859,37.47535727,57.38877763,0.565078914,7143.966309,5589.254395,2984.197754,6346.129883
51402010902,53.55156009,40.23724241,0.415647883,88.81768799,5.832069397,12.14798813,0.637154949,0.258175864,3.136317328,0.007311308,0.022930583,6.447079047,15,0,0,1.169741076,1,7,109.1477356,7.99909256,11085,235.5846432,64163.5,8.968580915,19,40.75,1727.839747,871.9931492,2.855680738,0.945907732,0.581366724,0.185462334,10.12808325,22.15699361,1.923119545,7087.399902,5556.573242,2973.600098,6302.640137
51201060303,59.35549217,57.31909181,0.22702421,93.26281738,3.016462088,13.88554303,0.60489902,0.581430829,3.479720457,0.006716541,0.054225877,3.891174761,13,0,0,2.513537678,0,5,84.00616625,6.301012133,16459,297.0448756,54074,8.753069121,1473,40.55,530.3671796,381.1409658,2.370450545,0.628073315,0.066965848,0.034943298,6.302142088,41.13511469,0.678563297,5879.964844,4627.964844,2483.435303,5240.317871
71200011306,81.09125808,59.96377223,0.283404023,58.01085697,3.543308258,20.07770631,0.46274404,0.420366779,5.946048554,0.002889317,0.024385837,12.67343124,250,0.308500782,107,5.785334711,3,19,294.7125466,16.27096714,48878,720.9641729,74185.5,63.60320621,2295,40.1625,1093.702733,788.0033626,6.10743328,14.24450942,2.821958929,0.6598305,10.87636761,26.39222405,9.339260101,7600.008301,5726.237793,2817.991699,6624.672363
51202060105,130.9665523,59.88081686,0.458981126,156.8896311,3.042998314,28.89319487,0.01046911,402.0638519,11616.90923,0.005429986,63.0796494,5.769482579,24,0,0,0.574086362,1,23,167.0847171,15.79685275,23346,324871.7468,53448.6,5385.306519,615,40.12,1415.138276,981.4012668,3.916384212,1.895383102,0.385205456,0.080490467,16.67769147,98.85736818,0.874522388,6075.010742,4870.523926,2703.02124,5463.481445
51201011507,94.72251927,53.09864075,0.422178679,90.6693573,2.979576349,18.84598882,0.081360281,31.32828504,192.3469211,0.004811069,2.84051547,5.539076165,46,0.062796614,2,0.35968238,2,12,177.7385148,18.93080634,22739,12314.55556,52317.83333,722.9839336,-308,36.11666667,602.5917585,481.1548786,10.10397433,3.523394002,1.652181673,1.254137589,10.53534233,63.56568621,4.099071026,6151.614746,4845.096191,2605.859375,5482.133301
