circulatory_ratio,relief,avg_slope,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population_density,avg_median_income,population_change,dependent_population_pct,dist_to_stream_avg,dist_to_stream_stdev,avg_impervious_percent,orb100yr24ha_am,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
0.615384615,0.479232786,0.196603527,0.033333333,0.059270517,0.211014177,0,0.102564103,0.08380136,0.011930586,0.043478261,0.311173975,0.428571429,0.210526316,0.28370807,0.496284167,0.274082836,0.790623405,0.08253464,0.697900666,0.31238045,0.32383654,0,0.638119685,0.780334335,0.335464728
0.134615385,0.266317097,0.176355323,0.116666667,0.047112462,0.065976009,0,0.025641026,0.043452557,0.000542299,0,0.507779349,0,0,0.065673838,0.08703867,0.05789639,0.422633757,0.080809464,0.68766001,0.543492284,0.634139122,0,0.638119685,0.675885138,0.001819382
0.153846154,0.246446806,0.173089484,0.05,0.045592705,0.069247546,0,0.025641026,0.168489506,0.084056399,0.010766046,1,0,0.087719298,0.081010939,0.309232901,0.082089194,0.534314703,0.045101046,0.929339478,0.436633702,0.597187963,0.014739663,0.167540903,0.458576661,0.273160465
0.269230769,0.085414654,0.095362508,0.408333333,0.059270517,0.063249727,0,0.025641026,0.195832102,0.142895879,0.209937888,0.193776521,0.142857143,0.438596491,0.383823684,0.799345006,0.389406177,0.274465155,0.094008434,0.75422427,0.478502073,0.508592337,0.416156202,0.124702574,0.564635189,0.20979329
0.307692308,0.023871947,0.013063357,0,0.097264438,0.532715376,0,0.128205128,0.041383388,0.001084599,0.002898551,0.02970297,0.142857143,0.228070175,0.058987606,0.137170928,0.024566137,0.410273923,0.050440878,0.824884793,0.216852804,0.213854629,0.0237366,0.571371175,0.385399443,0
0.576923077,0.382641093,0.191378184,0.366666667,0.781155015,0.310250818,0,0.948717949,0.103162873,0.004338395,0.003312629,0.042432815,0.142857143,0.122807018,0.042930947,0.138682454,0.054418097,0.49326281,0.039898132,0.795186892,0,0,0.009188361,0.106984219,0.314271335,0.34394035
0.384615385,0.948806403,0.43109079,0,0.039513678,0.317884406,0.5,0.128205128,0.025569022,0.009219089,0,0.028288543,0,0.087719298,0.032937981,0.005416299,0.012501155,0.543643052,0.061613451,0.874551971,0.425364469,0.555837856,0.002871363,0.139836164,0.356911808,0.099660171
0.307692308,0.281633779,0.381450033,0,0.063829787,0.553435115,0,0.051282051,0.102571682,0.005422993,0,0.070721358,0,0.140350877,0.028952113,0.023554604,0.07081154,0.584366784,0.043759242,0.828469022,0.420596501,0.513114619,0.005168453,0.239592866,0.427009715,0.467568048
0.653846154,0.401476473,0.42194644,0.341666667,0.053191489,0.175572519,0,0.076923077,0.063109666,0.004880694,0,0.209335219,0.142857143,0.052631579,0.03996378,0.035898728,0.07643743,0.470084786,0.048469248,0.766001024,0.520886506,0.47422299,0,0.638119685,0.430260666,0.225203115
0.788461538,0.934041672,0.983017636,0.458333333,0.071428571,0.164122137,0.5,0.205128205,0.061188294,0.022505423,0.014492754,0.096181047,0,0.087719298,0.031652478,0,0.028402979,0.435523406,0.044169998,0.915514593,0.338845479,0.384681796,0.008422665,0.308778822,0.395728876,0.12004021
0.75,0.538636677,0.105813194,0.008333333,0.050151976,0.106870229,0.5,0.025641026,0.003990541,0,0,0.00990099,0,0.087719298,0.001503796,0,0.012053893,0.612876976,0.038775398,0.746543779,0.443432264,0.536301595,0.006316998,0.322988326,0.978419209,1.22E-05
0.557692308,0.514971712,0.131939909,0.066666667,0.071428571,0.158124318,0,0.076923077,0.081879988,0.012472885,0.000828157,0.048090523,0.285714286,0.210526316,0.102613856,0.238443129,0.070611936,0.41671041,0.041185169,0.563236047,0.301515092,0.361535932,0.075612557,0.35340729,0.639773028,0.603707065
0.384615385,0.638402097,0.29980405,0,0.048632219,0.12868048,0.5,0.025641026,0.01285841,0,0,0.198019802,0,0.035087719,0.033689878,0,0.117585525,0.700669995,0.065830549,0.741423451,0.315325372,0.292345009,0.007082695,0.190870739,0.486838639,0.001822321
